序号,开奖日期,期号,红球1,红球2,红球3,红球4,红球5,红球6,蓝球,销售额,一等奖注数,一等奖奖金（元）,二等奖注数,二等奖奖金（元）,奖池（元）
1,2008/1/1,2008001,2,4,7,9,14,29,3,143343976,1,5000000,53,255048,111094951
2,2008/1/3,2008002,3,4,18,22,25,29,9,153610222,6,5000000,66,333886,90539172
3,2008/1/6,2008003,6,8,11,13,17,19,12,175940428,18,5000000,76,6000,30539172
4,2008/1/8,2008004,4,8,22,23,27,29,8,154299042,5,5000000,40,309247,34402240
5,2008/1/10,2008005,3,5,15,22,24,25,15,154340740,2,5000000,93,154623,57955436
6,2008/1/13,2008006,1,14,16,18,22,27,14,165907668,1,5000000,35,449100,89631944
7,2008/1/15,2008007,1,13,17,22,23,30,11,145532348,3,5000000,26,323095,94233045
8,2008/1/17,2008008,2,15,16,23,26,27,7,150661200,6,5000000,43,139470,78226614
9,2008/1/20,2008009,9,21,29,30,31,32,16,165349862,2,5000000,39,378221,102644740
10,2008/1/22,2008010,3,8,11,17,21,27,9,146738458,26,4174608,196,70179,30000000
11,2008/1/24,2008011,2,14,17,21,30,32,3,142739106,1,5000000,21,572544,53054681
12,2008/1/27,2008012,3,4,5,16,20,30,13,154610224,8,5000000,54,64572,51190784
13,2008/1/29,2008013,2,8,15,16,22,28,10,134411428,15,3412718,144,6000,30000000
14,2008/1/31,2008014,3,9,11,17,21,31,14,135835312,9,5000000,195,54756,19914148
15,2008/2/3,2008015,6,8,11,16,29,33,3,150230862,0,0,46,309151,53096396
16,2008/2/5,2008016,3,12,14,21,29,33,13,140568370,0,0,22,682967,88155385
17,2008/2/14,2008017,2,5,7,17,20,22,2,132359640,2,5000000,50,204744,102042212
18,2008/2/17,2008018,2,5,6,23,26,33,13,157186176,1,5000000,23,1837353,115153263
19,2008/2/19,2008019,2,9,11,17,27,31,5,141971234,5,5000000,103,186536,98387535
20,2008/2/21,2008020,3,10,13,15,28,30,3,146348748,8,5000000,207,55424,85157728
21,2008/2/24,2008021,9,12,19,20,26,28,15,160910474,3,5000000,95,162540,106187436
22,2008/2/26,2008022,12,18,20,24,28,32,5,144863010,0,0,59,582138,120907235
23,2008/2/28,2008023,8,16,18,25,26,32,2,153560364,4,5000000,82,340936,112888712
24,2008/3/2,2008024,11,20,21,26,28,30,13,170256022,2,5000000,30,1274035,119269174
25,2008/3/4,2008025,8,16,17,18,19,21,14,153154654,2,5000000,48,776713,125247286
26,2008/3/6,2008026,5,17,19,27,29,32,3,152462456,4,5000000,42,655496,117046228
27,2008/3/9,2008027,15,18,19,23,24,26,13,174009958,0,0,37,1090747,134342360
28,2008/3/11,2008028,1,13,21,26,29,32,10,160518620,1,5000000,40,596676,139571098
